,player_id,team_id_salary,league_id_salary,salary,team_id,league_id,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,w,l,gs,cg,sho,sv,ipouts,er,baopp,era,wp,bk,bfp,gf,pos,inn_outs,po,a,e,dp,pb,zr,debut,final_game,Days Played
426,bogaexa01,BOS,AL,1629000,BOS,AL,634.0,1195.0,151.0,336.0,65.0,4.0,20.0,132.0,13.0,5.0,76.0,252.0,2.0,11.0,5.0,11.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SS,4125.0,426.0,778.0,31.0,153.0,0.0,0.0,2013-08-20,2015-10-04,775.0
427,bogarti01,HOU,NL,2175000,HOU,NL,1365.0,1516.0,181.0,347.0,69.0,9.0,25.0,161.0,13.0,12.0,144.0,273.0,18.0,17.0,17.0,17.0,39.0,0.0,0.0,320.0,0.0,0.0,0.0,6.0,1.0,0.25,4.5,0.0,0.0,9.0,2.0,3B,11754.0,802.0,1316.0,47.0,295.0,0.0,0.0,1993-04-21,2001-07-01,2993.0
428,boggsmi01,SLN,NL,4425000,SLN,NL,723.0,27.0,157.0,320.0,1.0,0.0,27.0,0.0,0.0,0.0,144.0,247.0,11.0,19.0,19.0,10.0,0.0,13.0,15.0,15.0,0.0,0.0,6.0,950.0,145.0,1.9000000000000001,35.15,17.0,1.0,1393.0,71.0,P,951.0,25.0,48.0,4.0,4.0,0.0,0.0,2008-06-06,2013-09-27,1939.0
429,boggswa01,NYA,AL,14172948,BOS,AL,4836.0,9180.0,1514.0,3013.0,578.0,61.0,118.0,1014.0,24.0,35.0,1413.0,747.0,180.0,23.0,29.0,96.0,236.0,0.0,0.0,2223.0,0.0,0.0,0.0,7.0,1.0,0.0,6.75,0.0,0.0,11.0,2.0,3B,58414.0,2116.0,4304.0,232.0,472.0,0.0,0.0,1982-04-10,1999-08-27,6348.0
430,bogusbr01,HOU,NL,1449000,HOU,NL,809.0,748.0,95.0,181.0,36.0,4.0,20.0,67.0,24.0,7.0,72.0,204.0,3.0,9.0,1.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.429,18.0,0.0,0.0,7.0,1.0,LF,4548.0,401.0,19.0,10.0,8.0,0.0,0.0,2010-09-01,2015-10-03,1858.0
431,bohanbr01,COL,NL,12000000,TEX,AL,917.0,231.0,722.0,1282.0,11.0,1.0,145.0,30.0,0.0,0.0,499.0,740.0,25.0,58.0,34.0,6.0,5.0,54.0,60.0,269.0,8.0,2.0,2.0,3348.0,643.0,2.799,70.46,42.0,2.0,4993.0,26.0,P,3348.0,61.0,173.0,5.0,14.0,0.0,0.0,1990-04-10,2001-08-17,4147.0
432,bolicfr01,ANA,AL,534000,ANA,AL,210.0,258.0,28.0,52.0,15.0,0.0,5.0,26.0,1.0,0.0,34.0,45.0,2.0,4.0,0.0,2.0,5.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1B,1452.0,349.0,70.0,8.0,32.0,0.0,0.0,1993-04-05,1998-06-03,1885.0
433,boltoro01,CHA,AL,300000,CHA,AL,51.0,0.0,63.0,88.0,0.0,0.0,8.0,0.0,0.0,0.0,30.0,27.0,1.0,1.0,0.0,0.0,0.0,2.0,8.0,22.0,0.0,0.0,0.0,193.0,55.0,0.65,15.620000000000001,5.0,0.0,306.0,2.0,P,193.0,6.0,12.0,0.0,0.0,0.0,0.0,1993-04-10,1995-09-19,892.0
434,boltoto01,BOS,AL,1575000,BOS,AL,627.0,14.0,297.0,614.0,0.0,0.0,46.0,0.0,0.0,0.0,244.0,341.0,23.0,17.0,1.0,0.0,0.0,31.0,34.0,112.0,3.0,0.0,1.0,1621.0,274.0,2.5700000000000003,44.58,21.0,5.0,2426.0,40.0,P,1621.0,22.0,89.0,6.0,9.0,0.0,0.0,1987-05-17,1994-07-30,2631.0
435,bondeje01,DET,AL,37500000,DET,AL,675.0,30.0,728.0,1304.0,0.0,0.0,154.0,0.0,0.0,0.0,431.0,979.0,26.0,41.0,28.0,34.0,0.0,69.0,81.0,200.0,6.0,2.0,0.0,3693.0,672.0,2.806,54.05,51.0,5.0,5349.0,5.0,P,3690.0,98.0,106.0,18.0,14.0,0.0,0.0,2003-04-02,2013-09-21,3825.0
