,team_id_salary,league_id_salary,player_id,salary,team_id,league_id,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp
1031,ARI,NL,daiglca01,300000,ARI,NL,34.0,18.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0
1032,TOR,AL,dalesma01,185000,CAL,AL,79.0,129.0,17.0,31.0,7.0,0.0,3.0,17.0,1.0,0.0,3.0,14.0,0.0,1.0,0.0,2.0,6.0
1033,COL,NL,daleyma01,404000,COL,NL,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1034,MIL,NL,damicje01,2300000,MIL,NL,139.0,148.0,7.0,15.0,2.0,1.0,2.0,5.0,0.0,0.0,13.0,72.0,0.0,0.0,21.0,1.0,6.0
1035,NYA,AL,damonjo01,13000000,KCA,AL,2490.0,9736.0,1668.0,2769.0,522.0,109.0,235.0,1139.0,408.0,103.0,1003.0,1257.0,38.0,50.0,57.0,71.0,93.0
1036,LAN,NL,danieka01,2500000,CIN,NL,727.0,2338.0,391.0,666.0,125.0,8.0,104.0,360.0,87.0,26.0,365.0,493.0,28.0,14.0,4.0,18.0,51.0
1037,CHA,AL,danksjo01,15750000,CHA,AL,243.0,24.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,3.0,0.0,1.0
1038,FLO,NL,darenvi01,775000,FLO,NL,313.0,18.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,0.0,1.0
1039,OAK,AL,darliro01,3000000,NYN,NL,402.0,526.0,39.0,76.0,21.0,2.0,2.0,21.0,1.0,0.0,15.0,175.0,0.0,1.0,65.0,1.0,2.0
1040,NYN,NL,darnatr01,525424,NYN,NL,206.0,723.0,83.0,177.0,39.0,4.0,26.0,87.0,1.0,0.0,67.0,134.0,5.0,6.0,1.0,4.0,25.0
1041,SDN,NL,darrmi02,215000,SDN,NL,188.0,542.0,63.0,148.0,28.0,5.0,5.0,67.0,17.0,4.0,67.0,135.0,4.0,1.0,0.0,2.0,18.0
1042,TEX,AL,darviyu01,10000000,TEX,AL,83.0,11.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
1043,BOS,AL,darwida01,3350000,TEX,AL,722.0,305.0,15.0,39.0,11.0,2.0,2.0,22.0,2.0,0.0,6.0,171.0,0.0,1.0,20.0,2.0,1.0
