,team_id_salary,league_id_salary,salary,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,w,l,gs,sv,ipouts,er,baopp,era,wp,bk,bfp,gf,inn_outs,po,a,e,dp,Days Played
2860,PIT,NL,1950000,1259.0,1204.0,150.0,294.0,54.0,3.0,35.0,154.0,30.0,17.0,143.0,165.0,7.0,8.0,4.0,16.0,24.0,0.0,0.0,483.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,12594.0,1519.0,81.0,36.0,65.0,2684.0
2861,SFN,NL,300000,51.0,23.0,51.0,86.0,0.0,0.0,15.0,1.0,0.0,0.0,32.0,49.0,1.0,2.0,2.0,0.0,0.0,3.0,7.0,26.0,0.0,236.0,46.0,0.63,16.3,5.0,0.0,344.0,3.0,236.0,5.0,8.0,0.0,2.0,399.0
2862,CAL,AL,2475000,2095.0,9.0,552.0,1127.0,0.0,0.0,104.0,0.0,0.0,0.0,497.0,702.0,39.0,34.0,0.0,0.0,0.0,40.0,45.0,146.0,2.5,2387.5,370.0,4.03875,84.0375,29.0,2.5,3431.25,52.5,3476.0,33.0,161.0,13.0,13.0,6487.0
2863,MIL,NL,4987500,531.0,27.0,277.0,430.0,1.0,0.0,61.0,0.0,0.0,0.0,254.0,328.0,11.0,22.0,13.0,25.0,0.0,26.0,34.0,51.0,2.5,1291.0,261.0,1.544,30.94,23.0,0.0,1941.0,44.0,1290.0,19.0,32.0,4.0,3.0,2379.0
2864,TOR,AL,1266900,360.0,336.0,46.0,64.0,13.0,0.0,3.0,20.0,21.0,4.0,37.0,69.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2451.0,162.0,188.0,7.0,29.0,1120.0
2865,TBA,AL,5550000,2458.0,2462.0,359.0,675.0,118.0,17.5,21.0,244.0,62.5,35.0,229.0,445.0,11.0,9.0,48.5,20.0,50.0,0.0,0.0,542.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23912.0,1927.0,65.0,34.0,14.0,3944.0
2866,NYA,AL,1950000,924.0,48.0,224.0,432.0,2.0,0.0,47.0,4.0,1.0,0.0,257.0,465.0,42.0,10.0,6.0,0.0,0.0,28.0,31.0,18.0,2.5,1579.0,190.0,1.56,27.6,21.0,2.5,2221.0,52.5,1579.0,33.0,67.0,10.0,4.0,2488.0
2867,PIT,NL,615000,333.0,4.0,91.0,169.0,0.0,0.0,24.0,0.0,0.0,0.0,63.0,62.0,4.0,6.0,0.0,0.0,0.0,3.0,12.0,0.0,1.0,385.0,84.0,1.01,56.02,4.0,0.0,594.0,34.0,385.0,5.0,24.0,0.0,0.0,1508.0
2868,PIT,NL,30000000,3085.0,3419.5,639.0,1151.0,152.5,17.5,151.0,357.5,62.5,35.0,543.0,779.0,51.0,52.0,3.0,41.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22875.0,2443.75,50.0,35.0,14.0,2313.0
2869,PIT,NL,1204500,327.0,30.0,110.0,215.0,0.0,0.0,28.0,1.0,1.0,0.0,76.0,112.0,7.0,8.0,14.0,7.0,1.0,8.0,11.0,15.0,0.0,573.0,102.0,2.175,21.76,9.0,0.0,851.0,20.0,573.0,19.0,22.0,3.0,2.0,1677.0
